,file,time_step,step,luck_skill,score,skill_luck_rating,molexy,mole_x,mole_y,rel_x,rel_y,distance
203,Anna.log,28228.0,204.0,0.8,5.0,0.0066,119366.0,119.0,366.0,-4.0,-7.5,8.5
204,Anna.log,28412.0,205.0,0.8,5.0,0.0066,179169.0,179.0,169.0,11.0,4.5,11.884864324004713
205,Anna.log,28517.0,206.0,0.8,5.0,0.0066,119366.0,119.0,366.0,10.0,-5.5,11.412712210513327
206,Anna.log,28637.0,207.0,0.8,1.0,0.0116,119366.0,119.0,366.0,3.0,-5.5,6.264982043070834
207,Anna.log,28819.0,208.0,0.8,1.0,0.215,404479.0,404.0,479.0,3.0,-0.5,3.0413812651491097
208,Anna.log,29008.0,209.0,0.8,8.0,0.0016,464119.0,464.0,119.0,4.0,2.5,4.716990566028302
209,Anna.log,29147.0,210.0,0.8,4.0,0.0933,9543.0,95.0,43.0,7.0,12.5,14.326548781894402
210,Anna.log,29325.0,211.0,0.8,4.0,0.0933,636366.0,636.0,366.0,3.0,0.5,3.0413812651491097
211,Anna.log,29430.0,212.0,0.8,6.0,0.0983,119366.0,119.0,366.0,4.0,-1.5,4.272001872658765
212,Anna.log,29597.0,213.0,0.8,6.0,0.0983,119366.0,119.0,366.0,-1.0,-8.5,8.558621384311845
213,Anna.log,29708.0,214.0,0.8,7.0,0.0066,658232.0,658.0,232.0,-6.0,0.5,6.020797289396148
214,Anna.log,29851.0,215.0,0.8,7.0,0.0066,9543.0,95.0,43.0,6.0,-5.5,8.139410298049853
215,Anna.log,29979.0,216.0,0.8,7.0,0.0216,381295.0,381.0,295.0,8.0,1.5,8.139410298049853
216,Anna.log,30140.0,217.0,0.8,7.0,0.0216,381295.0,381.0,295.0,-7.0,-3.5,7.826237921249264
217,Anna.log,30256.0,218.0,0.8,7.0,0.0216,60311.0,603.0,11.0,-2.0,-6.5,6.800735254367722
218,Anna.log,30377.0,219.0,0.8,7.0,0.0216,636366.0,636.0,366.0,11.0,4.5,11.884864324004713
219,Anna.log,30511.0,220.0,0.8,3.0,0.9833,119366.0,119.0,366.0,4.0,7.5,8.5
220,Anna.log,30668.0,221.0,0.8,3.0,0.9833,9543.0,95.0,43.0,-7.0,-1.5,7.158910531638177
221,Anna.log,30793.0,222.0,0.19,8.0,0.0033,636366.0,636.0,366.0,-6.0,-3.5,6.946221994724902
222,Anna.log,30980.0,223.0,0.19,8.0,0.0033,404479.0,404.0,479.0,-15.0,-4.5,15.660459763365825
223,Anna.log,31085.0,224.0,0.19,8.0,0.0033,404479.0,404.0,479.0,-1.0,-2.5,2.692582403567252
224,Anna.log,31216.0,225.0,0.19,8.0,0.0033,9543.0,95.0,43.0,0.0,7.5,7.5
225,Anna.log,31329.0,226.0,0.19,8.0,0.0033,404479.0,404.0,479.0,-6.0,2.5,6.5
226,Anna.log,31422.0,227.0,0.19,4.0,0.9833,404479.0,404.0,479.0,-19.0,12.5,22.74313083108832
227,Anna.log,31569.0,228.0,0.19,4.0,0.9833,381295.0,381.0,295.0,-1.0,-2.5,2.692582403567252
228,Anna.log,31707.0,229.0,0.19,4.0,0.9833,381295.0,381.0,295.0,4.0,-14.5,15.041608956491324
229,Anna.log,31777.0,230.0,0.19,4.0,0.9833,404479.0,404.0,479.0,13.0,11.5,17.356554957709783
230,Anna.log,31866.0,231.0,0.19,9.0,0.2333,179169.0,179.0,169.0,0.0,0.5,0.5
231,Anna.log,32050.0,232.0,0.19,9.0,0.2333,9543.0,95.0,43.0,-10.0,10.5,14.5
232,Anna.log,32158.0,233.0,0.19,9.0,0.2333,9543.0,95.0,43.0,-4.0,0.5,4.031128874149275
233,Anna.log,32277.0,234.0,0.19,9.0,0.2333,658232.0,658.0,232.0,-1.0,-0.5,1.118033988749895
